28 @-@ Year @-@ Old Chef Found Dead at San Francisco Mal ||| 28 岁 厨师 被 发现 死 于 旧金山 一家 商
a 28 @-@ year @-@ old chef who had recently moved to San Francisco was found dead in the stairwell of a local mall this week ||| 近日 刚 搬 至 旧金山 的 一位 28 岁 厨师 本周 被 发现 死 于 当地 一家 商场 的 楼梯间
but the victim &apos;s brother says he can &apos;t think of anyone who would want to hurt him , saying , &quot; Things were finally going well for him . ||| 但 受害人 的 哥哥 表示 想不出 有 谁 会 想要 加害于 他 ， 并称 “ 一切 终于 好 起来 了 。
the body found at the Westfield Mall Wednesday morning was identified as 28 @-@ year @-@ old San Francisco resident Frank Galicia , the San Francisco Medical Examiner &apos;s Office said ||| 旧金山 验尸官 办公室 表示 ， 周三 早上 于 西田 购物中心 发现 的 尸体 确认 为 28 岁 旧金山 居民   Frank   Galicia
the San Francisco Police Department said the death was ruled a homicide and an investigation is ongoing ||| 旧金山 警察局 称该 起 死亡 案件 被 裁定 为 他杀 ， 并 正在 进行 调查
the victim &apos;s brother , Louis Galicia , told ABC station KGO in San Francisco that Frank , previously a line cook in Boston , had landed his dream job as line chef at San Francisco &apos;s Sons &amp; Daughters restaurant six months ago ||| 受害人 的 哥哥   Louis   Galicia   对 美国广播公司 位于 旧金山 的 电台   KGO   表示 ， 之前 在 波士顿 做 流水线 厨师 的 Frank   于 六个月 前 在 旧金山 的   Sons   &   Daughters   餐馆 找到 一份 流水线 厨师 的 理想 工作
a spokesperson for Sons &amp; Daughters said they were &quot; shocked and devastated &quot; by his death ||| Sons   &   Daughters   餐馆 的 一位 发言人 表示 ， 他们 对于   Frank   的 死 感到 “ 非常 震惊 ”
&quot; we are a small team that operates like a close knit family and he will be dearly missed , &quot; the spokesperson said ||| 该 发言人 称 ， “ 我们 是 相处 得 像 亲密无间 的 一家人 的 一个 小 团队 ， 我们 将 深深 怀念 他 。
our thoughts and condolences are with Frank &apos;s family and friends at this difficult time ||| 在 这个 悲痛 的 时刻 ， 我们 向   Frank   的 家人 及 朋友 表达 我们 深切 的 同情 与 哀悼
Louis Galicia said Frank initially stayed in hostels , but recently , &quot; Things were finally going well for him . ||| Louis   Galicia   称   Frank   起初 住 在 招待所 里 ， 但是 最近 “ 一切 终于 好 起来 了 。
&quot; he found an apartment , he was dating a girl , &quot; Louis Galicia told KGO ||| Louis   Galicia   告诉   KGO ： “ Frank 找到 一间 公寓 ， 同时 在 跟 一个 女孩 交往 。
Louis Galicia said he could not think of anyone who would want to hurt his younger brother ||| Louis   Galicia   表示 ， 他 想不出 有 谁 会 想要 加害 他 的 弟弟
he was a kind spirit with a big heart ||| Frank   拥有 善良 的 心地 及 宽阔 的 胸怀
his way of connecting with the family was always making us a dish , making us dinner , &quot; Louis Galicia said ||| Louis   Galicia   称 ： “ Frank   经常 为 家人 烹饪 晚餐 。
he never wanted to be in any kind of altercation ||| 他 从不 愿意 与 家人 争吵
he was the brother that went with the flow ||| 他 是 一个 随从 大家 意见 的 人
&quot; with everything else that &apos;s going wrong with the world , he was that diamond in the rough that was shining bright every day , &quot; he said ||| Louis   Galicia   说 ： “ 世上 的 所有 事物 都 有 可能 出错 ， 但 Frank   称得上 是 一个 每天 都 发光 的 外 粗 内秀 之 人 。
anyone with information is asked to call the SFPD Tip Line at 415 @-@ 575 @-@ 4444 ||| 有 线索 人士 请 拨打 旧金山 警察局 举报电话 415 - 575 - 4444
junior doctors strike : calls for fresh industrial actio ||| 初级 医生 罢工 ： 呼吁 新 的 劳工 行
representatives of junior doctors have called on their union to authorise fresh industrial action in their dispute about a new contract ||| 初级 医生 代表 号召 联盟 批准 其 针对 新 合同纠纷 采取 新 的 劳工 行动
the Junior Doctors Committee ( JDC ) of the British Medical Association ( BMA ) is to ask its full council to back more industrial action from early September ||| 英国 医学 协会 初级 医生 委员会 将 要求 其 全体成员 自 九月初 开始 支持 更 多 的 劳工 行动
the JDC says ministers have failed to address concerns about the contract ||| 初级 医生 委员会 表示 ， 部长 们 未 解决 对于 合同 的 忧虑
junior doctors and medical students voted in July to reject a contract deal agreed with the BMA ||| 初级 医生 与 医科 学生 于 7 月份 投票 抵制 与 英国 医学 协会 达成 的 合同 交易
it was rejected by 58 % of its members who voted in the ballot ||| 参与 投票 的 成员 中 ， 58% 反对 该 合同 交易
in a letter to members released on Twitter on Thursday night , the JDC &apos;s chair Ellen McCourt said the government had remained &quot; persistently silent &quot; on issues which , she said , had resulted in the contract being rejected ||| 初级 医生 委员会 主席   Ellen   McCourt   在 周四 晚间 于 推特上 发表 的 一封 致 成员 信中 表示 ， 对于 导致 合同 遭到 抵制 的 问题 ， 政府 “ 一贯 保持沉默 ”
she said : &quot; in light of this , the JDC Executive has voted to reject the proposed new contract in full and to call for formal re @-@ negotiations on all of your concerns . ||| 她 表示 ： “ 鉴于 此 ， 初级 医生 委员会 执行 委员会 已 投票 全盘 驳回 提议 的 新 合同 并 呼吁 就 所有 担忧 重新 进行 正式 协商 。
in response to the government &apos;s silence , JDC exec has today made a formal request for a special meeting of BMA Council to authorise a rolling programme of escalated industrial action beginning in early September ||| 针对 政府 的 沉默 态度 ， 初级 医生 委员会 执行 委员会 已 于 今日 正式 要求 英国 医学 协会 理事会 召开 特别 会议 批准 旨在 从 九月初 开始 升级 劳工 行动 的 一项 长期 计划
the dispute has led to junior doctors taking part in six strikes this year , including the first all @-@ out stoppages in the history of the NHS ||| 该 纠纷 已 导致 初级 医生 今年 共 参与 六次 罢工 ， 包括 英国 国家 医疗 服务体系 历史 上 的 首次 全面 罢工
the BMA &apos;s junior doctor leader , Dr Johann Malawana , resigned following the vote to reject the negotiated terms of the contract , which the BMA had recommended ||| 英国 医学 协会 初级 医生 领导者   Johann   Malawana   博士 在 英国 医学 协会 所 推荐 的 合同 议定 条款 遭到 投票 抵制 之后 辞职
he had told BMA members the deal was a good one that should be accepted , during meetings ahead of the poll of 54,000 junior doctors and medical students ||| 在 54 , 000 名 初级 医生 与 医科 学生 投票 之前 的 会议 中 ， 他 曾 对 英国 医学 协会 成员 表示 ， 该 交易 不错 ， 因此 应该 予以 接受
following the vote , Health Secretary Jeremy Hunt said the contract would be imposed on medics in England ||| 投票 后 ， 卫生部长   Jeremy   Hunt   表示 ， 该 合同 将 在 英格兰 医护人员 中 强制 实施
Russia and Turkey : an &apos; alliance of misfits&apos; ||| 俄罗斯 与 土耳其 ： “ 格格不入 联盟 ”
it was a gesture that ended a crisis ||| 一个 手势 结束 一场 危机
the leaders of Russia and Turkey met on Tuesday to shake hands and declare a formal end to an eight @-@ month long war of words and economic sanctions ||| 俄罗斯 与 土耳其 领导人 周二 进行 会见 ， 双方 握手 并 宣布 正式 结束 长 达 八个 月 的 口水战 与 经济制裁
but , as Vladimir Putin greeted his Turkish counterpart in the gilded hall of a St . Petersburg palace , I got the distinct impression that Ankara wants this reconciliation the most ||| 然而 ， 当 弗拉基米尔 · 普京 在 一座 圣彼德 斯堡 宫殿 金碧辉煌 的 大厅 中 迎接 土耳其 总统 时 ， 我 有种 强烈 的 感觉 ： 此次 和解 是 安卡拉 最 希望 看到 的
there was the handshake , yes ||| 是 的 ， 双方 确实 握手 了
but Mr Putin &apos;s smile looked thin and he was hardly oozing warmth even by his own restrained standards ||| 然而 ， 即使 是 按照 普京 先生 一向 内敛 的 标准 来看 ， 普京 也 只是 浅浅 微笑 ， 几乎 未 流露出 热情 之意
Recep Tayyip Erdogan by contrast talked repeatedly of his &quot; dear friend &quot; Mr Putin - five times , according to one report ||| 据 报道 ， 雷杰普 · 塔伊 普 · 埃 尔多 安则 五次 提到 “ 好 朋友 ” 普京
I lost count ||| 我 记不清 了
he also pledged that relations with Russia would return not just to their pre @-@ crisis level , but even higher ||| 同时 ， 他 承诺 与 俄罗斯 的 关系 将 回归 至 危机 发生 前 的 水平 ， 甚至 达到 更 高水平
the next day one newspaper here described Mr Erdogan as acting as if nothing bad had ever happened ||| 次日 ， 此间 一家 报纸 写 到 ， 埃 尔多 安 先生 则 表现 的 好像 什么 都 没 发生 一样
to me , his enthusiasm implied the opposite ||| 但是 ， 我 认为 他 的 热情 暗示 了 某些 相反 的 东西
but a lingering coolness emanating from Mr Putin showed that Russia &apos;s leader has forgotten nothing ||| 然而 ， 普京 先生 持续 冷淡 的 态度 说明 他 什么 都 没有 忘记
in fact , the cause of the crisis was the first thing he mentioned in his opening comments : Turkey &apos;s shooting down of a Russian fighter plane on the Syrian border ||| 实际上 ， 他 在 开场白 中 提到 的 第一件 事 便是 此次 危机 的 原因 ： 土耳其 于 叙利亚 边境 击落 一架 俄罗斯 战机
Moscow &apos;s reaction at the time was furious ||| 莫斯科 当时 的 反应 很 激烈
Mr Putin lashed out , accusing Ankara of stabbing Moscow in the back ||| 普京 先生 针对 该 事件 进行 猛烈 抨击 ， 指责 安卡拉 在 背后 暗算 莫斯科
the offence was even greater , coming from a supposed friend ||| 来自 所谓 朋友 的 攻击 更让人 难以 接受
rebuilding real trust will be hard , perhaps impossible ||| 双方 很难 ， 甚至 不 可能 重新 建立 真正 的 信任
Russian public opinion has also turned since November ||| 自 11 月份 开始 ， 俄罗斯 民意 也 有所 扭转
for months , state @-@ controlled media conducted a staggering , all @-@ out offensive against Ankara ||| 数月 来 ， 被 政府 控制 的 媒体 对 安卡拉 进行 了 令人震惊 的 全力 进攻
all of a sudden , it seemed like Turks were to blame for everything ||| 突然 之间 ， 土耳其人 似乎 要 为 所有 事情 负责
most serious were accusations from top officials that Mr Erdogan &apos;s own family has profited from an illegal trade in oil from areas of Syria controlled by the so @-@ called Islamic State ||| 其中 ， 最 严重 的 是 来自 高级官员 的 指责 ： 埃 尔多 安 先生 的 家人 从 所谓 伊斯兰 国 控制 的 叙利亚 地区 的 非法 石油 交易 中 获利
he &apos;s denied that emphatically ||| 他 已 断然 否认 该种 说法
